Country/Region,Date,New cases,New deaths,New recovered
Barbados,2020-01-31,0,0,0
Barbados,2020-02-29,0,0,0
Barbados,2020-03-31,34,0,0
Barbados,2020-04-30,47,7,39
Barbados,2020-05-31,11,0,37
Barbados,2020-06-30,5,0,14
Barbados,2020-07-31,13,0,6
Barbados,2020-08-31,64,0,50
Barbados,2020-09-30,16,0,33
Barbados,2020-10-31,47,0,42
Barbados,2020-11-30,39,0,29
Barbados,2020-12-31,107,0,69
Barbados,2021-01-31,1162,7,839
Barbados,2021-02-28,1523,19,1249
Barbados,2021-03-31,584,9,1058
Barbados,2021-04-30,203,2,303
Barbados,2021-05-31,11,0,32
Belarus,2020-01-31,0,0,0
Belarus,2020-02-29,1,0,0
Belarus,2020-03-31,151,1,47
Belarus,2020-04-30,13875,88,2339
Belarus,2020-05-31,28529,146,16128
Belarus,2020-06-30,19562,157,27540
Belarus,2020-07-31,5690,167,16390
Belarus,2020-08-31,4035,122,8024
Belarus,2020-09-30,6788,152,4057
Belarus,2020-10-31,19851,147,12138
Belarus,2020-11-30,38165,178,27678
Belarus,2020-12-31,57637,266,60806
Belarus,2021-01-31,54052,294,60691
Belarus,2021-02-28,38970,258,42157
Belarus,2021-03-31,34501,271,34325
Belarus,2021-04-30,36931,295,36693
Belarus,2021-05-31,2325,20,2803
Belgium,2020-01-31,0,0,0
Belgium,2020-02-29,1,0,1
Belgium,2020-03-31,12774,705,1695
Belgium,2020-04-30,35744,6889,9880
Belgium,2020-05-31,9862,1873,4311
Belgium,2020-06-30,3046,280,1097
Belgium,2020-07-31,7324,94,562
Belgium,2020-08-31,16485,54,876
Belgium,2020-09-30,33216,121,1032
Belgium,2020-10-31,310777,1609,6115
Belgium,2020-11-30,148116,5020,-25569
Belgium,2020-12-31,69151,2883,0
Belgium,2021-01-31,63657,1564,0
Belgium,2021-02-28,61358,985,0
Belgium,2021-03-31,110942,939,0
Belgium,2021-04-30,107776,1214,0
Belgium,2021-05-31,5333,61,0
Belize,2020-01-31,0,0,0
Belize,2020-02-29,0,0,0
Belize,2020-03-31,3,0,0
Belize,2020-04-30,15,2,9
Belize,2020-05-31,0,0,7
Belize,2020-06-30,6,0,2
Belize,2020-07-31,24,0,12
Belize,2020-08-31,959,11,143
Belize,2020-09-30,985,14,1073
Belize,2020-10-31,1495,32,914
Belize,2020-11-30,2367,89,991
Belize,2020-12-31,4922,100,6644
Belize,2021-01-31,1132,53,1514
Belize,2021-02-28,385,14,527
Belize,2021-03-31,163,2,254
Belize,2021-04-30,212,6,128
Belize,2021-05-31,0,0,0
Benin,2020-01-31,0,0,0
Benin,2020-02-29,0,0,0
Benin,2020-03-31,9,0,1
Benin,2020-04-30,55,1,32
Benin,2020-05-31,377,2,110
Benin,2020-06-30,967,18,190
Benin,2020-07-31,606,15,703
Benin,2020-08-31,340,4,702
Benin,2020-09-30,212,1,235
Benin,2020-10-31,286,0,445
Benin,2020-11-30,372,2,421
Benin,2020-12-31,236,1,222
Benin,2021-01-31,642,8,360
Benin,2021-02-28,1541,18,827
Benin,2021-03-31,1666,20,2204
Benin,2021-04-30,721,9,1128
Benin,2021-05-31,0,0,0
Bhutan,2020-01-31,0,0,0
Bhutan,2020-02-29,0,0,0
Bhutan,2020-03-31,4,0,0
Bhutan,2020-04-30,3,0,5
Bhutan,2020-05-31,36,0,1
Bhutan,2020-06-30,34,0,42
Bhutan,2020-07-31,24,0,41
Bhutan,2020-08-31,124,0,53
Bhutan,2020-09-30,57,0,80
Bhutan,2020-10-31,67,0,102
Bhutan,2020-11-30,61,0,57
Bhutan,2020-12-31,260,0,67
Bhutan,2021-01-31,189,1,366
Bhutan,2021-02-28,8,0,51
Bhutan,2021-03-31,6,0,4
Bhutan,2021-04-30,201,0,92
Bhutan,2021-05-31,37,0,32
Bolivia,2020-01-31,0,0,0
Bolivia,2020-02-29,0,0,0
Bolivia,2020-03-31,107,6,0
Bolivia,2020-04-30,1060,56,132
Bolivia,2020-05-31,8815,251,836
Bolivia,2020-06-30,23237,810,8372
Bolivia,2020-07-31,43570,1854,14242
Bolivia,2020-08-31,39809,2050,36826
Bolivia,2020-09-30,18713,2938,35121
Bolivia,2020-10-31,6446,760,15974
Bolivia,2020-11-30,2951,232,10199
Bolivia,2020-12-31,15416,208,10395
Bolivia,2021-01-31,56711,1214,27125
Bolivia,2021-02-28,32175,1270,33810
Bolivia,2021-03-31,23401,608,28930
Bolivia,2021-04-30,31321,694,28418
Bolivia,2021-05-31,2795,58,2400
Bosnia and Herzegovina,2020-01-31,0,0,0
Bosnia and Herzegovina,2020-02-29,0,0,0
Bosnia and Herzegovina,2020-03-31,420,13,17
Bosnia and Herzegovina,2020-04-30,1337,56,710
Bosnia and Herzegovina,2020-05-31,753,84,1135
Bosnia and Herzegovina,2020-06-30,1943,33,540
Bosnia and Herzegovina,2020-07-31,7423,153,3557
Bosnia and Herzegovina,2020-08-31,8088,270,7136
Bosnia and Herzegovina,2020-09-30,7505,247,7521
Bosnia and Herzegovina,2020-10-31,22621,378,7467
Bosnia and Herzegovina,2020-11-30,37811,1447,24686
Bosnia and Herzegovina,2020-12-31,23084,1369,24456
Bosnia and Herzegovina,2021-01-31,10512,629,17379
Bosnia and Herzegovina,2021-02-28,9482,392,21243
Bosnia and Herzegovina,2021-03-31,38647,1528,14645
Bosnia and Herzegovina,2021-04-30,28835,1952,28731
Bosnia and Herzegovina,2021-05-31,0,0,0
Botswana,2020-01-31,0,0,0
Botswana,2020-02-29,0,0,0
Botswana,2020-03-31,4,1,0
Botswana,2020-04-30,19,0,5
Botswana,2020-05-31,12,0,15
Botswana,2020-06-30,192,0,8
Botswana,2020-07-31,577,1,35
Botswana,2020-08-31,829,4,161
Botswana,2020-09-30,1539,10,486
Botswana,2020-10-31,3470,8,3966
Botswana,2020-11-30,4100,10,3236
Botswana,2020-12-31,4063,8,4224
Botswana,2021-01-31,6488,92,5062
Botswana,2021-02-28,7078,176,6046
Botswana,2021-03-31,11477,258,13714
Botswana,2021-04-30,7086,144,8002
Botswana,2021-05-31,0,0,0
Brazil,2020-01-31,0,0,0
Brazil,2020-02-29,2,0,0
Brazil,2020-03-31,5715,201,127
Brazil,2020-04-30,81470,5805,35808
Brazil,2020-05-31,427662,23308,170620
Brazil,2020-06-30,887192,30280,581763
Brazil,2020-07-31,1260444,32881,1220536
Brazil,2020-08-31,1245787,28906,1259737
Brazil,2020-09-30,902663,22571,1006183
Brazil,2020-10-31,724670,15932,730387
Brazil,2020-11-30,800273,13236,592641
Brazil,2020-12-31,1340095,21829,1251042
Brazil,2021-01-31,1528758,29555,1327529
Brazil,2021-02-28,1346528,30438,1205943
Brazil,2021-03-31,2197488,66573,1799055
Brazil,2021-04-30,1910264,82266,1810580
Brazil,2021-05-31,95899,3858,91599
Brunei,2020-01-31,0,0,0
Brunei,2020-02-29,0,0,0
Brunei,2020-03-31,129,1,45
Brunei,2020-04-30,9,0,79
Brunei,2020-05-31,3,1,14
Brunei,2020-06-30,0,1,0
Brunei,2020-07-31,0,0,0
Brunei,2020-08-31,3,0,1
Brunei,2020-09-30,2,0,3
Brunei,2020-10-31,2,0,1
Brunei,2020-11-30,2,0,2
Brunei,2020-12-31,7,0,4
Brunei,2021-01-31,23,0,21
Brunei,2021-02-28,6,0,11
Brunei,2021-03-31,26,0,13
Brunei,2021-04-30,12,0,21
Brunei,2021-05-31,3,0,3
Bulgaria,2020-01-31,0,0,0
Bulgaria,2020-02-29,0,0,0
Bulgaria,2020-03-31,399,8,17
Bulgaria,2020-04-30,1107,58,249
Bulgaria,2020-05-31,1007,74,808
Bulgaria,2020-06-30,2476,90,1602
Bulgaria,2020-07-31,6701,153,3643
Bulgaria,2020-08-31,4576,246,5164
Bulgaria,2020-09-30,4567,196,3151
Bulgaria,2020-10-31,32011,454,5411
Bulgaria,2020-11-30,92456,2756,30520
Bulgaria,2020-12-31,56966,3541,68962
Bulgaria,2021-01-31,16482,1469,67525
Bulgaria,2021-02-28,28290,1146,18493
Bulgaria,2021-03-31,95595,3006,54016
Bulgaria,2021-04-30,61747,3202,79973
Bulgaria,2021-05-31,814,93,908
Burkina Faso,2020-01-31,0,0,0
Burkina Faso,2020-02-29,0,0,0
Burkina Faso,2020-03-31,261,14,32
Burkina Faso,2020-04-30,384,29,474
Burkina Faso,2020-05-31,202,10,214
Burkina Faso,2020-06-30,115,0,118
Burkina Faso,2020-07-31,144,0,97
Burkina Faso,2020-08-31,262,2,123
Burkina Faso,2020-09-30,688,3,277
Burkina Faso,2020-10-31,444,9,915
Burkina Faso,2020-11-30,386,1,343
Burkina Faso,2020-12-31,3821,17,2507
Burkina Faso,2021-01-31,3975,35,4153
Burkina Faso,2021-02-28,1300,22,2240
Burkina Faso,2021-03-31,735,4,892
Burkina Faso,2021-04-30,593,11,658
Burkina Faso,2021-05-31,9,0,10
Burma,2020-01-31,0,0,0
Burma,2020-02-29,0,0,0
Burma,2020-03-31,15,1,0
Burma,2020-04-30,136,5,27
Burma,2020-05-31,73,0,111
Burma,2020-06-30,75,0,84
Burma,2020-07-31,54,0,74
Burma,2020-08-31,529,0,58
Burma,2020-09-30,12491,304,3401
Burma,2020-10-31,39333,927,29019
Burma,2020-11-30,38007,704,37382
Burma,2020-12-31,33917,741,36913
Burma,2021-01-31,15515,449,18003
Burma,2021-02-28,1751,68,6408
Burma,2021-03-31,538,7,320
Burma,2021-04-30,383,3,166
Burma,2021-05-31,21,0,15
Burundi,2020-01-31,0,0,0
Burundi,2020-02-29,0,0,0
Burundi,2020-03-31,2,0,0
Burundi,2020-04-30,9,1,4
Burundi,2020-05-31,52,0,29
Burundi,2020-06-30,107,0,82
Burundi,2020-07-31,217,0,189
Burundi,2020-08-31,58,0,53
Burundi,2020-09-30,63,0,115
Burundi,2020-10-31,77,0,39
Burundi,2020-11-30,103,0,64
Burundi,2020-12-31,130,1,112
Burundi,2021-01-31,814,0,86
Burundi,2021-02-28,577,1,0
Burundi,2021-03-31,601,3,0
Burundi,2021-04-30,1185,0,0
Burundi,2021-05-31,43,0,0
Cabo Verde,2020-01-31,0,0,0
Cabo Verde,2020-02-29,0,0,0
Cabo Verde,2020-03-31,6,1,0
Cabo Verde,2020-04-30,115,0,4
Cabo Verde,2020-05-31,314,3,189
Cabo Verde,2020-06-30,792,11,436
Cabo Verde,2020-07-31,1224,8,1195
Cabo Verde,2020-08-31,1433,17,1092
Cabo Verde,2020-09-30,2140,20,2361
Cabo Verde,2020-10-31,2769,35,2704
Cabo Verde,2020-11-30,1968,10,2348
Cabo Verde,2020-12-31,1079,8,1230
Cabo Verde,2021-01-31,2230,21,1585
Cabo Verde,2021-02-28,1330,13,1670
Cabo Verde,2021-03-31,2070,21,1463
Cabo Verde,2021-04-30,6412,49,4288
Cabo Verde,2021-05-31,486,6,334
Cambodia,2020-01-31,1,0,0
Cambodia,2020-02-29,0,0,1
Cambodia,2020-03-31,108,0,22
Cambodia,2020-04-30,13,0,96
Cambodia,2020-05-31,3,0,4
Cambodia,2020-06-30,16,0,7
Cambodia,2020-07-31,98,0,34
Cambodia,2020-08-31,35,0,102
Cambodia,2020-09-30,3,0,9
Cambodia,2020-10-31,14,0,8
Cambodia,2020-11-30,35,0,21
Cambodia,2020-12-31,52,0,58
Cambodia,2021-01-31,88,0,81
Cambodia,2021-02-28,354,0,34
Cambodia,2021-03-31,1620,11,714
Cambodia,2021-04-30,10962,82,3961
Cambodia,2021-05-31,1118,10,217
Cameroon,2020-01-31,0,0,0
Cameroon,2020-02-29,0,0,0
Cameroon,2020-03-31,193,6,5
Cameroon,2020-04-30,1639,55,929
Cameroon,2020-05-31,4072,130,2634
Cameroon,2020-06-30,6688,122,6532
Cameroon,2020-07-31,4663,78,5220
Cameroon,2020-08-31,1887,20,2331
Cameroon,2020-09-30,1696,7,1789
Cameroon,2020-10-31,955,8,677
Cameroon,2020-11-30,2652,11,2060
Cameroon,2020-12-31,1832,11,2715
Cameroon,2021-01-31,3340,14,3153
Cameroon,2021-02-28,6097,89,4549
Cameroon,2021-03-31,11955,170,2667
Cameroon,2021-04-30,24581,386,0
Cameroon,2021-05-31,0,0,0
Canada,2020-01-31,4,0,0
Canada,2020-02-29,16,0,0
Canada,2020-03-31,8494,152,0
Canada,2020-04-30,45930,4027,0
Canada,2020-05-31,38022,3727,0
Canada,2020-06-30,13618,874,0
Canada,2020-07-31,12184,245,0
Canada,2020-08-31,12637,168,0
Canada,2020-09-30,30189,198,0
Canada,2020-10-31,76206,885,0
Canada,2020-11-30,144244,1963,0
Canada,2020-12-31,202852,3523,0
Canada,2021-01-31,199286,4279,0
Canada,2021-02-28,87999,1949,0
Canada,2021-03-31,117114,970,0
Canada,2021-04-30,239559,1260,0
Canada,2021-05-31,12511,49,0
Central African Republic,2020-01-31,0,0,0
Central African Republic,2020-02-29,0,0,0
Central African Republic,2020-03-31,3,0,0
Central African Republic,2020-04-30,47,0,10
Central African Republic,2020-05-31,961,2,13
Central African Republic,2020-06-30,2734,45,764
Central African Republic,2020-07-31,863,12,819
Central African Republic,2020-08-31,103,3,184
Central African Republic,2020-09-30,118,0,124
Central African Republic,2020-10-31,37,0,10
Central African Republic,2020-11-30,47,1,0
Central African Republic,2020-12-31,50,0,0
Central African Republic,2021-01-31,18,0,2961
Central African Republic,2021-02-28,23,0,35
Central African Republic,2021-03-31,157,4,37
Central African Republic,2021-04-30,1250,21,155
Central African Republic,2021-05-31,0,0,0
Chad,2020-01-31,0,0,0
Chad,2020-02-29,0,0,0
Chad,2020-03-31,7,0,0
Chad,2020-04-30,66,5,33
Chad,2020-05-31,705,60,458
Chad,2020-06-30,88,9,290
Chad,2020-07-31,70,1,32
Chad,2020-08-31,77,2,67
Chad,2020-09-30,187,8,127
Chad,2020-10-31,283,13,307
Chad,2020-11-30,205,3,211
Chad,2020-12-31,425,3,179
Chad,2021-01-31,1263,14,760
Chad,2021-02-28,597,22,1011
Chad,2021-03-31,560,24,665
Chad,2021-04-30,284,6,283
Chad,2021-05-31,11,0,7
Chile,2020-01-31,0,0,0
Chile,2020-02-29,2,0,0
Chile,2020-03-31,2842,12,156
Chile,2020-04-30,14858,215,8424
Chile,2020-05-31,105848,827,34147
Chile,2020-06-30,155843,4634,198502
Chile,2020-07-31,76274,3769,87098
Chile,2020-08-31,56059,1832,55552
Chile,2020-09-30,51265,1452,52710
Chile,2020-10-31,47265,1466,50053
Chile,2020-11-30,41487,1203,39962
Chile,2020-12-31,57230,1198,50778
Chile,2021-01-31,118136,1844,104599
Chile,2021-02-28,97516,2120,98549
Chile,2021-03-31,170913,2563,150740
Chile,2021-04-30,202707,3218,198077
Chile,2021-05-31,12675,208,14218
China,2020-01-31,9254,196,183
China,2020-02-29,69554,2624,37657
China,2020-03-31,2923,472,36777
China,2020-04-30,1677,1328,2306
China,2020-05-31,190,1,862
China,2020-06-30,640,3,231
China,2020-07-31,2870,20,1146
China,2020-08-31,2259,62,3804
China,2020-09-30,631,16,854
China,2020-10-31,821,0,670
China,2020-11-30,1536,4,871
China,2020-12-31,3061,39,2897
China,2021-01-31,4100,35,2281
China,2021-02-28,902,18,2505
China,2021-03-31,767,6,872
China,2021-04-30,762,4,634
China,2021-05-31,36,1,56
Colombia,2020-01-31,0,0,0
Colombia,2020-02-29,0,0,0
Colombia,2020-03-31,906,16,31
Colombia,2020-04-30,5601,277,1408
Colombia,2020-05-31,22876,646,5593
Colombia,2020-06-30,68463,2395,32989
Colombia,2020-07-31,197662,6771,114366
Colombia,2020-08-31,319586,9557,305073
Colombia,2020-09-30,214585,6336,284193
Colombia,2020-10-31,244505,5316,225577
Colombia,2020-11-30,242622,5452,241259
Colombia,2020-12-31,325969,6447,297930
Colombia,2021-01-31,452109,10770,429903
Colombia,2021-02-28,156806,5783,209927
Colombia,2021-03-31,154687,3656,137266
Colombia,2021-04-30,453347,10298,383793
Colombia,2021-05-31,33931,757,31286
Comoros,2020-01-31,0,0,0
Comoros,2020-02-29,0,0,0
Comoros,2020-03-31,0,0,0
Comoros,2020-04-30,1,0,0
Comoros,2020-05-31,105,2,26
Comoros,2020-06-30,197,5,174
Comoros,2020-07-31,75,0,130
Comoros,2020-08-31,45,0,69
Comoros,2020-09-30,56,0,65
Comoros,2020-10-31,66,0,34
Comoros,2020-11-30,66,0,88
Comoros,2020-12-31,212,3,119
Comoros,2021-01-31,1903,83,1026
Comoros,2021-02-28,845,51,1583
Comoros,2021-03-31,125,2,211
Comoros,2021-04-30,138,0,149
Comoros,2021-05-31,5,0,1
Congo (Brazzaville),2020-01-31,0,0,0
Congo (Brazzaville),2020-02-29,0,0,0
Congo (Brazzaville),2020-03-31,19,0,0
Congo (Brazzaville),2020-04-30,201,9,19
Congo (Brazzaville),2020-05-31,391,11,160
Congo (Brazzaville),2020-06-30,476,17,277
Congo (Brazzaville),2020-07-31,2113,17,373
Congo (Brazzaville),2020-08-31,779,24,913
Congo (Brazzaville),2020-09-30,1110,11,2145
Congo (Brazzaville),2020-10-31,201,3,0
Congo (Brazzaville),2020-11-30,484,2,1101
Congo (Brazzaville),2020-12-31,1333,14,858
Congo (Brazzaville),2021-01-31,780,9,0
Congo (Brazzaville),2021-02-28,933,11,1173
Congo (Brazzaville),2021-03-31,861,7,1189
Congo (Brazzaville),2021-04-30,997,9,0
Congo (Brazzaville),2021-05-31,0,0,0
Congo (Kinshasa),2020-01-31,0,0,0
Congo (Kinshasa),2020-02-29,0,0,0
Congo (Kinshasa),2020-03-31,98,8,2
Congo (Kinshasa),2020-04-30,474,23,71
Congo (Kinshasa),2020-05-31,2498,41,375
Congo (Kinshasa),2020-06-30,3969,98,978
Congo (Kinshasa),2020-07-31,2031,45,5370
Congo (Kinshasa),2020-08-31,1027,43,2337
Congo (Kinshasa),2020-09-30,562,14,1006
Congo (Kinshasa),2020-10-31,647,35,446
Congo (Kinshasa),2020-11-30,1466,26,1000
Congo (Kinshasa),2020-12-31,4886,258,3116
Congo (Kinshasa),2021-01-31,5113,80,330
Congo (Kinshasa),2021-02-28,3142,36,3920
Congo (Kinshasa),2021-03-31,2229,36,6493
Congo (Kinshasa),2021-04-30,1711,23,775
Congo (Kinshasa),2021-05-31,112,2,31
Costa Rica,2020-01-31,0,0,0
Costa Rica,2020-02-29,0,0,0
