Country,Code_x,2019 Population,Code_y,2019 GDP
Spain,ESP,47076781.0,ESP,1393490000000.0
Estonia,EST,1326590.0,EST,31471100656.0
Ethiopia,ETH,112078730.0,ETH,95912590628.0
European Union,EUU,447512041.0,EUU,15626400000000.0
Fragile and conflict affected situations,FCS,798138587.0,FCS,1778460000000.0
Finland,FIN,5520314.0,FIN,269296000000.0
Fiji,FJI,889953.0,FJI,5496250694.0
France,FRA,67059887.0,FRA,2715520000000.0
Faroe Islands,FRO,48678.0,FRO,0.0
"Micronesia, Fed. Sts.",FSM,113815.0,FSM,0.0
Gabon,GAB,2172579.0,GAB,16874450215.0
United Kingdom,GBR,66834405.0,GBR,2829110000000.0
Georgia,GEO,3720382.0,GEO,17477255546.0
Ghana,GHA,30417856.0,GHA,66983634224.0
Gibraltar,GIB,33701.0,GIB,0.0
Guinea,GIN,12771246.0,GIN,12296665331.0
"Gambia, The",GMB,2347706.0,GMB,1826073740.0
Guinea-Bissau,GNB,1920922.0,GNB,1339449165.0
Equatorial Guinea,GNQ,1355986.0,GNQ,11026774945.0
Greece,GRC,10716322.0,GRC,209853000000.0
Grenada,GRD,112003.0,GRD,1210603704.0
Greenland,GRL,56225.0,GRL,0.0
Guatemala,GTM,16604026.0,GTM,76710355347.0
Guam,GUM,167294.0,GUM,0.0
Guyana,GUY,782766.0,GUY,5173759528.0
High income,HIC,1235852827.0,HIC,55140600000000.0
"Hong Kong SAR, China",HKG,7507400.0,HKG,365712000000.0
Honduras,HND,9746117.0,HND,25095395475.0
Heavily indebted poor countries (HIPC),HPC,801708035.0,HPC,783062000000.0
Croatia,HRV,4067500.0,HRV,60752588976.0
Haiti,HTI,11263077.0,HTI,14332163266.0
Hungary,HUN,9769949.0,HUN,163469000000.0
IBRD only,IBD,4816235951.0,IBD,31539000000000.0
IDA & IBRD total,IBT,6486934851.0,IBT,33852000000000.0
IDA total,IDA,1670698900.0,IDA,2320310000000.0
IDA blend,IDB,561572202.0,IDB,991548000000.0
Indonesia,IDN,270625568.0,IDN,1119190000000.0
IDA only,IDX,1109126698.0,IDX,1331970000000.0
Isle of Man,IMN,84584.0,IMN,0.0
India,IND,1366417754.0,IND,2868930000000.0
Not classified,INX,0.0,INX,0.0
Ireland,IRL,4941444.0,IRL,388699000000.0
"Iran, Islamic Rep.",IRN,82913906.0,IRN,0.0
Iraq,IRQ,39309783.0,IRQ,234094000000.0
Iceland,ISL,361313.0,ISL,24188038474.0
Israel,ISR,9053300.0,ISR,394652000000.0
Italy,ITA,60297396.0,ITA,2003580000000.0
Jamaica,JAM,2948279.0,JAM,16458071068.0
Jordan,JOR,10101694.0,JOR,44502895862.0
Japan,JPN,126264931.0,JPN,5081770000000.0
Kazakhstan,KAZ,18513930.0,KAZ,181666000000.0
Kenya,KEN,52573973.0,KEN,95503088538.0
Kyrgyz Republic,KGZ,6456900.0,KGZ,8454619608.0
Cambodia,KHM,16486542.0,KHM,27089389787.0
Kiribati,KIR,117606.0,KIR,194647201.9
St. Kitts and Nevis,KNA,52823.0,KNA,1053244444.0
"Korea, Rep.",KOR,51709098.0,KOR,1646740000000.0
Kuwait,KWT,4207083.0,KWT,134629000000.0
Latin America & Caribbean (excluding high income),LAC,613773128.0,LAC,5149600000000.0
Lao PDR,LAO,7169455.0,LAO,18173839147.0
Lebanon,LBN,6855713.0,LBN,51991634492.0
Liberia,LBR,4937374.0,LBR,3070518100.0
Libya,LBY,6777452.0,LBY,52091152228.0
St. Lucia,LCA,182790.0,LCA,2122450630.0
Latin America & Caribbean,LCN,646430841.0,LCN,5733770000000.0
Least developed countries: UN classification,LDC,1033388876.0,LDC,1115240000000.0
Low income,LIC,668454965.0,LIC,541512000000.0
Liechtenstein,LIE,38019.0,LIE,0.0
Sri Lanka,LKA,21803000.0,LKA,84008783756.0
Lower middle income,LMC,2913363391.0,LMC,6334930000000.0
Low & middle income,LMY,6437681145.0,LMY,32643500000000.0
Lesotho,LSO,2125268.0,LSO,2376328637.0
Late-demographic dividend,LTE,2298470832.0,LTE,22920400000000.0
Lithuania,LTU,2786844.0,LTU,54627411860.0
Luxembourg,LUX,619896.0,LUX,71104919108.0
Latvia,LVA,1912789.0,LVA,34102913582.0
"Macao SAR, China",MAC,640445.0,MAC,53859116536.0
St. Martin (French part),MAF,38002.0,MAF,0.0
Morocco,MAR,36471769.0,MAR,119700000000.0
Monaco,MCO,38964.0,MCO,0.0
Moldova,MDA,2657637.0,MDA,11968713370.0
Madagascar,MDG,26969307.0,MDG,14114631281.0
Maldives,MDV,530953.0,MDV,5642179170.0
Middle East & North Africa,MEA,456707404.0,MEA,3649610000000.0
Mexico,MEX,127575529.0,MEX,1268870000000.0
Marshall Islands,MHL,58791.0,MHL,0.0
Middle income,MIC,5769226180.0,MIC,32087900000000.0
North Macedonia,MKD,2083459.0,MKD,12547040499.0
Mali,MLI,19658031.0,MLI,17279566719.0
Malta,MLT,502653.0,MLT,14989415684.0
Myanmar,MMR,54045420.0,MMR,76085852617.0
Middle East & North Africa (excluding high income),MNA,389457086.0,MNA,0.0
Montenegro,MNE,622137.0,MNE,5542577965.0
Mongolia,MNG,3225167.0,MNG,13996719329.0
Northern Mariana Islands,MNP,57216.0,MNP,0.0
Mozambique,MOZ,30366036.0,MOZ,15291448212.0
Mauritania,MRT,4525696.0,MRT,7600656944.0
Mauritius,MUS,1265711.0,MUS,14048430519.0
Malawi,MWI,18628747.0,MWI,7666704427.0
Malaysia,MYS,31949777.0,MYS,364681000000.0
North America,NAC,365892703.0,NAC,23177100000000.0
Namibia,NAM,2494530.0,NAM,12366528259.0
New Caledonia,NCL,287800.0,NCL,0.0
Niger,NER,23310715.0,NER,12911689659.0
Nigeria,NGA,200963599.0,NGA,448120000000.0
Nicaragua,NIC,6545502.0,NIC,12520915291.0
Netherlands,NLD,17332850.0,NLD,907051000000.0
Norway,NOR,5347896.0,NOR,403336000000.0
Nepal,NPL,28608710.0,NPL,30641380604.0
Nauru,NRU,12581.0,NRU,118223430.1
New Zealand,NZL,4917000.0,NZL,206929000000.0
OECD members,OED,1359963500.0,OED,53699400000000.0
Oman,OMN,4974986.0,OMN,76331518669.0
Other small states,OSS,31360407.0,OSS,432093000000.0
Pakistan,PAK,216565318.0,PAK,278222000000.0
Panama,PAN,4246439.0,PAN,66800800000.0
Peru,PER,32510453.0,PER,226848000000.0
Philippines,PHL,108116615.0,PHL,376796000000.0
Palau,PLW,18008.0,PLW,268354919.4
Papua New Guinea,PNG,8776109.0,PNG,24829107011.0
Poland,POL,37970874.0,POL,595858000000.0
Pre-demographic dividend,PRE,944902749.0,PRE,1403790000000.0
Puerto Rico,PRI,3193694.0,PRI,104989000000.0
Portugal,PRT,10269417.0,PRT,238785000000.0
Paraguay,PRY,7044636.0,PRY,38145288940.0
West Bank and Gaza,PSE,4685306.0,PSE,0.0
Pacific island small states,PSS,2493696.0,PSS,10634784073.0
Post-demographic dividend,PST,1112914457.0,PST,50769900000000.0
French Polynesia,PYF,279287.0,PYF,0.0
Qatar,QAT,2832067.0,QAT,175838000000.0
Romania,ROU,19356544.0,ROU,250077000000.0
Russian Federation,RUS,144373535.0,RUS,1699880000000.0
Rwanda,RWA,12626950.0,RWA,10354417725.0
South Asia,SAS,1835776742.0,SAS,3591840000000.0
Saudi Arabia,SAU,34268528.0,SAU,792967000000.0
Sudan,SDN,42813238.0,SDN,30513456085.0
Senegal,SEN,16296364.0,SEN,23578084052.0
Singapore,SGP,5703569.0,SGP,372063000000.0
Solomon Islands,SLB,669823.0,SLB,1589913622.0
Sierra Leone,SLE,7813215.0,SLE,4121733705.0
El Salvador,SLV,6453553.0,SLV,27022640000.0
San Marino,SMR,33860.0,SMR,0.0
Somalia,SOM,15442905.0,SOM,4942319041.0
Serbia,SRB,6944975.0,SRB,51475016532.0
Sub-Saharan Africa (excluding high income),SSA,1105594562.0,SSA,1751180000000.0
South Sudan,SSD,11062113.0,SSD,0.0
Sub-Saharan Africa,SSF,1106957898.0,SSF,1766940000000.0
Small states,SST,41255484.0,SST,520457000000.0
Sao Tome and Principe,STP,215056.0,STP,418637389.0
Suriname,SUR,581372.0,SUR,3697371950.0
Slovak Republic,SVK,5454073.0,SVK,105080000000.0
Slovenia,SVN,2087946.0,SVN,54174227309.0
Sweden,SWE,10285453.0,SWE,530884000000.0
Eswatini,SWZ,1148130.0,SWZ,4471598727.0
Sint Maarten (Dutch part),SXM,40733.0,SXM,0.0
Seychelles,SYC,97625.0,SYC,1703387387.0
Syrian Arab Republic,SYR,17070135.0,SYR,0.0
Turks and Caicos Islands,TCA,38191.0,TCA,1197415000.0
Chad,TCD,15946876.0,TCD,11314951343.0
East Asia & Pacific (IDA & IBRD countries),TEA,2067984156.0,TEA,17118900000000.0
Europe & Central Asia (IDA & IBRD countries),TEC,460799505.0,TEC,4155160000000.0
Togo,TGO,8082366.0,TGO,5490272413.0
Thailand,THA,69625582.0,THA,543549000000.0
Tajikistan,TJK,9321018.0,TJK,8116626794.0
Turkmenistan,TKM,5942089.0,TKM,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644770.0,TLA,5487960000000.0
Timor-Leste,TLS,1293119.0,TLS,2017924900.0
Middle East & North Africa (IDA & IBRD countries),TMN,384771780.0,TMN,0.0
Tonga,TON,104494.0,TON,512350059.4
South Asia (IDA & IBRD),TSA,1835776742.0,TSA,3591840000000.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957898.0,TSS,1766940000000.0
Trinidad and Tobago,TTO,1394973.0,TTO,24269714810.0
Tunisia,TUN,11694719.0,TUN,38796687568.0
Turkey,TUR,83429615.0,TUR,761425000000.0
Tuvalu,TUV,11646.0,TUV,47271463.33
Tanzania,TZA,58005463.0,TZA,63177068175.0
Uganda,UGA,44269594.0,UGA,35165157017.0
Ukraine,UKR,44385155.0,UKR,153781000000.0
Upper middle income,UMC,2855862789.0,UMC,25741800000000.0
Uruguay,URY,3461734.0,URY,56045912953.0
United States,USA,328239523.0,USA,21433200000000.0
Uzbekistan,UZB,33580650.0,UZB,57921286440.0
St. Vincent and the Grenadines,VCT,110589.0,VCT,824718518.5
"Venezuela, RB",VEN,28515829.0,VEN,0.0
British Virgin Islands,VGB,30030.0,VGB,0.0
Virgin Islands (U.S.),VIR,106631.0,VIR,0.0
Vietnam,VNM,96462106.0,VNM,261921000000.0
Vanuatu,VUT,299882.0,VUT,934239973.8
World,WLD,7673533972.0,WLD,87734600000000.0
Samoa,WSM,197097.0,WSM,852250191.0
Kosovo,XKX,1794248.0,XKX,7926133714.0
"Yemen, Rep.",YEM,29161922.0,YEM,22581081994.0
South Africa,ZAF,58558270.0,ZAF,351432000000.0
Zambia,ZMB,17861030.0,ZMB,23309773923.0
Zimbabwe,ZWE,14645468.0,ZWE,21440758800.0
